city,state,median_sale_price
Alma,Arkansas,209000.0
Alma,Colorado,564500.0
Alma,Illinois,164000.0
Alma,Kansas,244000.0
Alma,Michigan,152125.0
Alma,Missouri,127250.0
Alma,Texas,295000.0
Almedia,Pennsylvania,252500.0
Almond,Wisconsin,112500.0
Almont,Michigan,280000.0
Aloha,Oregon,490000.0
Alondra Park,California,865000.0
Alpena,Michigan,159750.0
Alpha,Illinois,120000.0
Alpha,New Jersey,312500.0
Alpharetta,Georgia,682485.0
Alpine,California,920000.0
Alpine,New Jersey,3325000.0
Alpine,Oregon,259000.0
Alpine,Utah,1100000.0
Alsace Manor,Pennsylvania,289900.0
Alsey,Illinois,36500.0
Alsip,Illinois,238750.0
Alta,California,389500.0
Alta,Iowa,195000.0
Alta,Wyoming,2803500.0
Alta Sierra,California,497250.0
Altadena,California,1367500.0
Altamont,Illinois,129500.0
Altamont,Kansas,114900.0
Altamont,New York,350000.0
Altamont,Oregon,308750.0
Altamont,Pennsylvania,165000.0
Altamonte Springs,Florida,281975.0
Altavista,Virginia,184500.0
Alto,California,3400000.0
Alto,Texas,224500.0
Alton,Illinois,118750.0
Alton,New Hampshire,452500.0
Alton,Texas,262450.0
Altona,Colorado,2692500.0
Altona,Illinois,74500.0
Altona,Indiana,156500.0
Altoona,Alabama,135000.0
Altoona,Florida,215000.0
Altoona,Iowa,318720.0
Altoona,Pennsylvania,121100.0
Altoona,Wisconsin,325500.0
Altoona Beach,Maryland,635000.0
Altura,Minnesota,250000.0
Alturas,Florida,217950.0
Altus,Arkansas,110000.0
Altus,Oklahoma,181500.0
Alum Creek,West Virginia,350000.0
Alum Rock,California,990625.0
Alva,Florida,645000.0
Alvarado,Texas,341873.5
Alvin,Texas,288175.0
Alvo,Nebraska,230000.0
Alvord,Texas,230375.0
Ama,Louisiana,157500.0
Amado,Arizona,180000.0
Amagansett,New York,4180000.0
Amanda,Ohio,257000.0
Amarillo,Texas,230950.0
Amber,Oklahoma,121750.0
Amberg,Wisconsin,104000.0
Amberley,Ohio,612750.0
Ambler,Pennsylvania,510000.0
Amboy,Illinois,131250.0
Amboy,Indiana,84250.0
Amboy,New York,222500.0
Amboy,Washington,1250000.0
Ambridge,Pennsylvania,135000.0
Amelia,Ohio,290750.0
Amelia Court House,Virginia,365000.0
Amenia,New York,479500.0
American Canyon,California,670407.5
American Falls,Idaho,305000.0
American Fork,Utah,500950.0
Americus,Georgia,211875.0
Americus,Kansas,114000.0
Ames,Iowa,275000.0
Ames,Texas,169249.75
Ames Lake,Washington,1390000.0
Amesbury,Massachusetts,553500.0
Amesbury Town,Massachusetts,553500.0
Amesti,California,952750.0
Amherst,New Hampshire,602625.0
Amherst,New York,337000.0
Amherst,Ohio,262500.0
Amherst,Virginia,267725.0
Amherst,Wisconsin,287500.0
Amherst Center,Massachusetts,513000.0
Amherst Junction,Wisconsin,430000.0
Amherst Town,Massachusetts,450000.0
Amite City,Louisiana,199375.0
Amity,Oregon,386950.0
Amity Gardens,Pennsylvania,345000.0
Amityville,New York,642000.0
Ammon,Idaho,439975.0
Amo,Indiana,188500.0
Ampere North,New Jersey,580500.0
Amsterdam,New York,176000.0
Amsterdam,Ohio,97500.0
Anacoco,Louisiana,260000.0
Anacortes,Washington,686500.0
Anaheim,California,905375.0
Anahola,Hawaii,2675000.0
Anahuac,Texas,228250.0
Anamosa,Iowa,174000.0
Anchor Bay,California,705000.0
Anchorage,Alaska,421500.0
Anchorage,Kentucky,780000.0
Ancient Oaks,Pennsylvania,484000.0
Ancram,New York,448750.0
Andale,Kansas,238000.0
Andalusia,Illinois,259000.0
Anderson,California,289250.0
Anderson,Indiana,139900.0
Anderson,New Jersey,355000.0
Anderson,South Carolina,230000.0
Anderson,South Dakota,716555.0
Anderson Creek,North Carolina,320000.0
Anderson Island,Washington,434125.0
Anderson Mill,Texas,387000.0
Anderson Township,Ohio,332500.0
Andersonville,Ohio,289900.0
Andersonville,Tennessee,400000.0
Andover,Kansas,358997.75
Andover,Massachusetts,792500.0
Andover,Minnesota,444975.0
Andover,New Jersey,620000.0
Andover,Ohio,174225.0
Andrews,Florida,279750.0
Andrews,Indiana,80000.0
Andrews,South Carolina,196500.0
Andrews,Texas,244450.0
Angier,North Carolina,320505.0
Angleton,Texas,242497.5
Angola,Indiana,236250.0
Angola,New York,209900.0
Angola on the Lake,New York,304000.0
Angus,Texas,85000.0
Angustura,New Mexico,266000.0
Angwin,California,800000.0
Aniwa,Wisconsin,325000.0
Ankeny,Iowa,305625.0
Ann Arbor,Michigan,469000.0
Anna,Ohio,268500.0
Anna,Texas,379955.0
Anna Maria,Florida,2255400.0
Annandale,Minnesota,345000.0
Annandale,New Jersey,668104.0
Annandale,Virginia,646625.0
Annapolis,Maryland,535000.0
Annapolis Neck,Maryland,680000.0
Annawan,Illinois,135000.0
Annetta,Texas,673950.0
Annetta South,Texas,866828.5
Annex,Oregon,420000.0
Anniston,Alabama,149950.0
Annsville,New York,36000.0
Annville,Pennsylvania,235750.0
Anoka,Minnesota,322250.0
Anson,Texas,135000.0
Ansonia,Connecticut,379500.0
Ansonia,Ohio,135600.0
Ansonville,North Carolina,71250.5
Antelope,California,497000.0
Anthem,Arizona,542250.0
Anthony,New Mexico,191995.0
Anthony,Texas,215000.0
Antioch,California,589000.0
Antioch,Illinois,346500.0
Anton,Texas,84900.0
Antrim,New Hampshire,420400.0
Antwerp,New York,81000.0
Anza,California,393750.0
Apache Junction,Arizona,371513.25
Apalachin,New York,216000.0
Apex,North Carolina,613500.0
Apollo,Pennsylvania,95375.0
Apollo Beach,Florida,446101.0
Apopka,Florida,365725.5
Appalachia,Virginia,155000.0
Apple Creek,Ohio,190000.0
Apple Mountain Lake,Virginia,380000.0
Apple Valley,California,425625.0
Apple Valley,Minnesota,351000.0
Apple Valley,Ohio,339950.0
Apple Valley,Utah,584750.0
Appleby,Texas,223500.0
Appleton,Wisconsin,275000.0
Applewood,Colorado,877875.0
Appling,Georgia,304000.0
Appomattox,Virginia,262250.0
Aptos,California,1251000.0
Aptos Hills-Larkin Valley,California,1550000.0
Aquasco,Maryland,703500.0
Aquebogue,New York,882500.0
Aquia Harbour,Virginia,533725.0
Aquilla,Ohio,153000.0
Arab,Alabama,258475.0
Arabi,Louisiana,274750.0
Aragon,Georgia,220000.0
Arapahoe,North Carolina,124250.0
Arbon Valley,Idaho,695000.0
Arbury Hills,Illinois,295000.0
Arbutus,Maryland,329900.0
Arcade,Georgia,342750.0
Arcadia,California,1365000.0
Arcadia,Florida,232000.0
Arcadia,Indiana,244900.0
Arcadia,Iowa,207875.0
Arcadia,New York,197500.0
Arcadia,Oklahoma,322645.0
Arcadia,South Carolina,195250.0
Arcanum,Ohio,192500.0
Arcata,California,505000.0
Archbald,Pennsylvania,222550.0
Archbold,Ohio,182000.0
Archdale,North Carolina,255000.0
Archer,Florida,210250.0
Archer City,Texas,164900.0
Archer Lodge,North Carolina,402500.0
Archie,Missouri,246000.0
Arco,Idaho,199000.0
Arcola,Texas,323524.25
Arcola,Virginia,707990.0
Arden,Delaware,626000.0
Arden Hills,Minnesota,381000.0
Arden on the Severn,Maryland,817500.0
Arden-Arcade,California,500500.0
Ardencroft,Delaware,339000.0
Ardmore,Alabama,215000.0
Ardmore,Oklahoma,165000.0
Ardmore,Pennsylvania,488750.0
Ardsley,New York,920000.0
Arena,Wisconsin,223000.0
Arenas Valley,New Mexico,295000.0
Arendtsville,Pennsylvania,284900.0
Argenta,Illinois,155000.0
Argentine,Michigan,425000.0
Argo,Alabama,310000.0
Argonia,Kansas,84900.0
Argos,Indiana,177000.0
Argyle,Illinois,324625.0
Argyle,Texas,550000.0
Arial,South Carolina,249975.0
Aripeka,Florida,450000.0
Arivaca,Arizona,188750.0
Arivaca Junction,Arizona,205750.0
Arizona City,Arizona,258990.0
Arizona Village,Arizona,248375.0
Arkabutla,Mississippi,330000.0
Arkadelphia,Arkansas,171750.0
Arkansas City,Kansas,111036.5
Arkport,New York,182499.5
Arkwright,South Carolina,170950.0
Arlington,Kansas,59900.0
Arlington,Massachusetts,1101000.0
Arlington,Nebraska,380000.0
Arlington,New York,350000.0
Arlington,Ohio,166007.0
Arlington,Tennessee,474875.0
Arlington,Texas,330000.0
Arlington,Vermont,319950.0
Arlington,Virginia,714000.0
Arlington,Washington,565000.0
Arlington,Wisconsin,360000.0
Arlington Heights,Illinois,366750.0
Arlington Heights,Pennsylvania,310000.0
Arlington Heights,Washington,730000.0
Arma,Kansas,109250.0
Armada,Michigan,294750.0
Armona,California,271000.0
Armonk,New York,1345000.0
Arnaudville,Louisiana,131250.0
Arnold,Maryland,572891.25
Arnold,Missouri,240400.0
Arnold,Pennsylvania,55250.0
Arnolds Park,Iowa,453750.0
Aroma Park,Illinois,161500.0
Aromas,California,856000.0
Arp,Texas,192400.0
Arrington,Virginia,373000.0
Arrowsmith,Illinois,105000.0
Arroyo Colorado Estates,Texas,84500.0
Arroyo Grande,California,857500.0
Arroyo Hondo,New Mexico,600500.0
Artesia,California,834497.0
Artesia,New Mexico,275575.0
Arthurdale,West Virginia,240500.0
Artondale,Washington,876000.0
Arvada,Colorado,605625.0
Arvin,California,286625.0
Asbury,Iowa,356656.25
Asbury,New Jersey,395000.0
Asbury Lake,Florida,352545.0
Asbury Park,New Jersey,700000.0
Ascutney,Vermont,245000.0
Ash Flat,Arkansas,109950.0
Ash Grove,Missouri,205700.0
Asharoken,New York,1507500.0
Ashaway,Rhode Island,440500.0
Ashburn,Virginia,636083.25
Ashburnham,Massachusetts,475500.0
Ashby,Massachusetts,452500.0
Ashdown,Arkansas,128800.0
Asheboro,North Carolina,245000.0
Asheville,North Carolina,462000.0
Ashfield,Massachusetts,446500.0
Ashford,Alabama,225000.0
Ashford,New York,159650.0
Ashford,Washington,546000.0
